year,state_value,district_value,block_value,score_gp_name,score_signature,gp_code,scorecard_url,evidence_url,retrieved_utc,source_sha256,evidence
2023-2024,23,392,3752,Pondi,62.04|53.18|78.95|52.1|70.88|58.04|62.96|60.66|78.07|50.74,132753,/PS/Public/SC.aspx?f_id=Mg==&s_id=MjM=&d_id=Mzky&b_id=Mzc1Mg==&Blank=1&gp_id=MTMyNzUz,https://pai.gov.in/PS/Public/TW-GP.aspx,2026-09-01,259991a1daa45a1412eb2312ff54fefdaf9cd2963acf02b6685b34a1bd902d6e,Current official PAI table displays this exact ten-score vector beside Pondi-[132753].
2023-2024,23,392,3752,Pondi,46.65|44.2|31.75|43.33|53.52|47.04|47.5|59.73|70.24|34.28,132189,/PS/Public/SC.aspx?f_id=Mg==&s_id=MjM=&d_id=Mzky&b_id=Mzc1Mg==&Blank=1&gp_id=MTMyMTg5,https://pai.gov.in/PS/Public/TW-GP.aspx,2026-09-01,259991a1daa45a1412eb2312ff54fefdaf9cd2963acf02b6685b34a1bd902d6e,Current official PAI table displays this exact ten-score vector beside Pondi-[132189].
2023-2024,17,740,2483,Dewsaw,46.64|64.78|55.28|46.25|42.95|53.77|24|82.32|46.82|29.54,286265,/PS/Public/SC.aspx?f_id=Mg==&s_id=MTc=&d_id=NzQw&b_id=MjQ4Mw==&Blank=1&gp_id=Mjg2MjY1,https://pai.gov.in/PS/Public/SC.aspx?f_id=Mg==&s_id=MTc=&d_id=NzQw&b_id=MjQ4Mw==&Blank=1&gp_id=Mjg2MjY1,2026-09-01,4baccdc9290ea4a1beb77bcf5d8a0ddc63dbefab9d3338f2a9a0eb162d6248cd,Current official scorecard for GP 286265 contains this exact ten-score vector.
2023-2024,17,740,2483,Dewsaw,34.52|60.86|26|28.33|54.29|40.31|24.71|76.42|46.82|8.03,286297,/PS/Public/SC.aspx?f_id=Mg==&s_id=MTc=&d_id=NzQw&b_id=MjQ4Mw==&Blank=1&gp_id=Mjg2Mjk3,https://pai.gov.in/PS/Public/SC.aspx?f_id=Mg==&s_id=MTc=&d_id=NzQw&b_id=MjQ4Mw==&Blank=1&gp_id=Mjg2Mjk3,2026-09-01,7b948a6c7c0919808292682a8664a3a4458b080c540e2c12acfeb06e817b3506,Current official scorecard for GP 286297 contains this exact ten-score vector.
2023-2024,33,596,6454,Ponnankuppam,65.95|56.34|68.64|69.73|69.8|51.52|82.35|63.16|72.54|64.49,233996,/PS/Public/SC.aspx?f_id=Mg==&s_id=MzM=&d_id=NTk2&b_id=NjQ1NA==&Blank=1&gp_id=MjMzOTk2,https://pai.gov.in/PS/Public/SC.aspx?f_id=Mg==&s_id=MzM=&d_id=NTk2&b_id=NjQ1NA==&Blank=1&gp_id=MjMzOTk2,2026-09-01,451a0cf953abe953463fe60decda02e3b76b52c65fcc7747ecce1195a94081ea,Current official scorecard for GP 233996 contains this exact ten-score vector.
2023-2024,33,596,6454,Ponnankuppam,54.38|43.28|62.84|61.07|53.33|57.13|84.07|30.63|71.52|44.59,233002,/PS/Public/SC.aspx?f_id=Mg==&s_id=MzM=&d_id=NTk2&b_id=NjQ1NA==&Blank=1&gp_id=MjMzMDAy,https://pai.gov.in/PS/Public/SC.aspx?f_id=Mg==&s_id=MzM=&d_id=NTk2&b_id=NjQ1NA==&Blank=1&gp_id=MjMzMDAy,2026-09-01,fc7398d10e11b6fc2e5cb47981ed07711c20f8159f7e293e2365248a628ecfc0,Current official scorecard for GP 233002 contains this exact ten-score vector.
