year,states_total,states_with_data,districts,blocks_with_data,blocks_no_data,blocks_failed,gp_count,score_rows,data_mb,html_mb
2022-2023,34,29,753,5917,1282,0,169673,1696730,1278.5,1139.0
2023-2024,34,33,741,6103,1032,0,183011,1830110,1091.4,1059.2
