pai_version,fiscal_year,theme_number,theme_slug,indicator_id,mandatory,kind,indicator,numerator,denominator,source_url,retrieved_utc
PAI 1.0,2022-2023,2,t2_healthy_panchayat,46,Mandatory,ratio,"Percentage of children aged 12-23 months who received all basic vaccinations ( BCG, measles and three doses each of polio and DPT or Penta vaccine excluding polio vaccine given at birth)","Children aged 12-23 months who received all basic vaccinations (BCG, measles and three doses each of polio (excluding polio vaccine given at birth) and DPT or Penta vaccine",Children aged 12-23 months in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=2&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,2,t2_healthy_panchayat,47,Mandatory,ratio,Percentage of children aged under 5 years who are underweight,Total underweight Children under 5 Year,Number of children in age under 5 years,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=2&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,2,t2_healthy_panchayat,52,Mandatory,ratio,"Tuberculosis incidence per 1,000 population",TB patients in a population during reference period,Total GP Population,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=2&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,2,t2_healthy_panchayat,53,Optional,ratio,"Malaria incidence per 1,000 population",Number of confirmed malaria cases during the reference period,Total GP Population,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=2&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,2,t2_healthy_panchayat,54,Mandatory,ratio,Dengue: Case Fatality Ratio,Number of deaths due to dengue during reference year,Number of dengue cases during reference year,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=2&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,2,t2_healthy_panchayat,55,Mandatory,ratio,"Total number of cases of diarrhoea per 1,000 population",Total number of cases of diarrhea during the reference year,Total GP Population,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=2&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,2,t2_healthy_panchayat,58,Optional,ratio,Percentage of men and women reporting Asthma in the age group 15 years & above,Number of men and women reporting Asthma in the age group 15years & above,Total GP population of 15-49 years,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=2&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,2,t2_healthy_panchayat,59,Optional,ratio,Percentage of people using Tobacco / Alcohol,People using Tobacco /Alcohol,Total GP Population,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=2&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,2,t2_healthy_panchayat,60,Mandatory,ratio,Total GP spending on Health to the total expenditure,GP expenditure on Health,Total GP expenditure (All Scheme),https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=2&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,2,t2_healthy_panchayat,66,Mandatory,ratio,Under 1 Year mortality rate of child per 1000 live births during the reference year (Age as on 31st March),Number of deaths of children of age under 5 year (0-59 months) during the reference year,Number of children in age under 5 years,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=2&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,2,t2_healthy_panchayat,70,Mandatory,ratio,Percentage of Pregnant Women and lactating mothers registered under ICDS out of total eligible Pregnant Women and lactating mothers,Total number of registered Pregnant Women and Lactating Mothers under ICDS,Total number of eligible Pregnant Women and Lactating Mothers,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=2&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,2,t2_healthy_panchayat,75,Mandatory,ratio,Percentage of children under age 5 years who are wasted,Total wasted children under 5 Year,Number of children in age under 5 years,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=2&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,2,t2_healthy_panchayat,76,Mandatory,ratio,Percentage of children under age 5 years who are stunted,Total stunted children under 5 year,Number of children in age under 5 years,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=2&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,2,t2_healthy_panchayat,79,Mandatory,ratio,Percentage of Adolescent (15-18) Girls who are anaemic,Number of Adolescent (15-18) Girls who are anaemic,Total number of Adolescent (15-19) girls,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=2&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,2,t2_healthy_panchayat,395,Optional,ratio,Percentage of Children age 6-59 months who are anaemic (<11.0g/dl),Children aged 6-59 months who are anemic,Total Number of children in age group 6-59 months,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=2&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,2,t2_healthy_panchayat,550,Mandatory,ratio,Percentage of maternal death to live birth,Maternal Deaths during the reference year,Live births of child during reference year,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=2&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,46,Mandatory,ratio,"Percentage of children aged 12-23 months who received all basic vaccinations ( BCG, measles and three doses each of polio and DPT or Penta vaccine excluding polio vaccine given at birth)","Children aged 12-23 months who received all basic vaccinations (BCG, measles and three doses each of polio (excluding polio vaccine given at birth) and DPT or Penta vaccine",Children aged 12-23 months in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,47,Mandatory,ratio,Percentage of children aged under 5 years who are underweight,Total underweight Children under 5 Year,Number of children in age under 5 years,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,62,Mandatory,ratio,Percentage of Children in Gram Panchayat whose birth has been registered during the reference year,number of Children whose birth has been registered,Total number of children born during the reference year,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,65,Mandatory,ratio,Percentage of institutional delivery,Total number of institutional delivery,Total number of births,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,66,Mandatory,ratio,Under 1 Year mortality rate of child per 1000 live births during the reference year (Age as on 31st March),Number of deaths of children of age under 5 year (0-59 months) during the reference year,Number of children in age under 5 years,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,68,Mandatory,ratio,Percentage of children (0-3 years) registered under ICDS out of total eligible children (0-3 years),Total number of registered children (0-3 years) under ICDS,Total number of eligible children (0-3 years) under ICDS,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,69,Mandatory,ratio,Percentage of children (3-6 years) registered under ICDS out of total eligible children (3-6 years),Total number of registered children (3-6 years) under ICDS,Total number of eligible children (3-6 years) under ICDS,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,70,Mandatory,ratio,Percentage of Pregnant Women and lactating mothers registered under ICDS out of total eligible Pregnant Women and lactating mothers,Total number of registered Pregnant Women and Lactating Mothers under ICDS,Total number of eligible Pregnant Women and Lactating Mothers,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,71,Mandatory,ratio,Percentage of eligible children getting served under ICDS,Total number of registered children under ICDS,Total number of eligible children,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,73,Mandatory,ratio,Percentage of children (0-3 years) with disabilities receiving Early Childhood Intervention,Number of Children (0-3 years) with disabilities receiving Early Childhood Intervention,Total number of children(0-3 years) with disabilities,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,75,Mandatory,ratio,Percentage of children under age 5 years who are wasted,Total wasted children under 5 Year,Number of children in age under 5 years,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,76,Mandatory,ratio,Percentage of children under age 5 years who are stunted,Total stunted children under 5 year,Number of children in age under 5 years,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,78,Optional,ratio,Percentage of Children age (5-14 years) who are anemic,Number of Children age (5-14 years) who are anemic,Total number of Children 5-14 years),https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,79,Mandatory,ratio,Percentage of Adolescent (15-18) Girls who are anaemic,Number of Adolescent (15-18) Girls who are anaemic,Total number of Adolescent (15-19) girls,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,81,Mandatory,ratio,Percentage of children between ages 3-6 years receiving formal pre-school education or early childhood care in AWC,Number of Children Aged 3-6 years receiving Pre School education or early childhood care in AWC,Total number of eligible children (3-6 years) under ICDS,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,82,Mandatory,ratio,Transition Rate (Primary),Fresh enrolment in class 6th of Children in the present year,Class 5th enrolment previous year,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,83,Mandatory,ratio,Transition Rate (Upper Primary),Fresh enrolment in class 9th of Children in the present year,Class 8th enrolment previous year,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,86,Mandatory,number,Drop-out Rate (Primary),Drop-out rate (Primary),,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,87,Mandatory,number,Drop-out Rate (Upper Primary),Drop-out rate(Upper Primary),,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,88,Mandatory,number,Drop-out Rate ( Secondary),Drop-out rate (Secondary),,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,89,Optional,ratio,Percentage of children (14-18 years) who are neither in school / training,"number of children who are 14-18 years, are neither in school / training",Total Number of children of age 14-18 years,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,90,Mandatory,ratio,Percentage of out of school children in GP to out of the total number of children in the reference age group (6-14 Years),Number of out of school children in GP,total number of children in the reference age group(6-14 Years),https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,91,Optional,ratio,"Ratio of male-female enrolled in higher education, technical and vocational education up to 18 years","Number of Female enrolled in higher education, technical and vocational education.","Number of Male enrolled in higher education, technical and vocational education.",https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,92,Mandatory,ratio,Ratio of female-male enrolled in Primary,Number of Female enrolled in Primary,Number of Male enrolled in Primary,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,93,Mandatory,ratio,Ratio of female-male enrolled in Upper Primary,Number of Female enrolled in Upper Primary,Number of Male enrolled in Upper Primary,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,94,Mandatory,ratio,Ratio of female-male enrolled in Secondary,Number of Female enrolled in Secondary,Number of Male enrolled in Secondary,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,95,Mandatory,ratio,Ratio of female-male enrolled in Higher Secondary,Number of Female enrolled in Higher Secondary,Number of Male enrolled in Higher Secondary,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,96,Mandatory,ratio,Percentage of children with disabilities enrolled in schools/ special schools,Number of Children with disabilities enrolled in Schools/Special Schools,Total number of Children with disabilities,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,97,Mandatory,ratio,"Percentage of Anganwadi Center having own building with basic facilities ( Electricity, Drinking Water & Toilet) in Gram Panchayat",Number of Anganwadis have their own building,Number of Anganwadis in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,98,Mandatory,ratio,Percentage of Anganwadis having access to Adequate and Safe drinking water,Number of Anganwadis have Adequate and Safe drinking water,Number of Anganwadis in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,3,t3_child_friendly_panchayat,108,Mandatory,ratio,Percentage of Anganwadis having Electricity,Number of Anganwadis have Electricity,Number of Anganwadis in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=3&s=1,2026-09-06T06:50:29Z
