pai_version,fiscal_year,theme_number,theme_slug,indicator_id,mandatory,kind,indicator,numerator,denominator,source_url,retrieved_utc
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,1,Mandatory,ratio,Percentage of households in poor category as per updated NFSA - Priority Households & AAY category,Number of households in the poor category as per the updated NFSA-Priority Households & Antyodaya Anna Yojana (AAY) category,Total Households,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,2,Mandatory,ratio,Percentage of households in poor category as per updated NFSA - AAY category,Number of households in the poor category as per the updated NFSA-Antyodaya Anna Yojana(AAY)category,Total Households,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,3,Mandatory,ratio,Percentage of active workers out of enrolled persons under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Number of active Workers under MGNREGS under reference year,Total no. of workers registered under MGNREGS during the reference year,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,4,Mandatory,ratio,Percentages of Households benefited under MGNREGA out of total households,Number of households benefited under MGNREGS,Total Households,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,8,Optional,ratio,Percentage of persons in agriculture and allied sectors linked to Farmer Producers’ Organisation,number of persons in agriculture and allied sectors linked to Farmer Producers’ Organisation,number of persons in agriculture and allied sectors,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,10,Mandatory,ratio,Percentage of Cultivable Area,Total Cultivable Area,Total area of GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,13,Optional,ratio,Percentage of unemployed persons (21 – 45 years men and women) in the GP level,Number of unemployed persons (21 – 45 years men and women) in the GP level,Total GP population of 21-45 years,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,14,Optional,ratio,Whether GP has any Milk Collection Center,Quantity of milk collection from GP at collection centers,Total GP Population,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,19,Mandatory,ratio,Percentage of Households who got benefit from PMAY / any State Specific Housing Scheme,Number of Household(HH)s benefited from PMAY /any State Specific Housing Scheme,Total number of Eligible Household(HHs),https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,20,Mandatory,ratio,Percentage of Households covered by a Health Scheme /Health Insurance of State or Central Government during the reference year,Number of households covered by a health scheme or health insurance under Aayushman Bharat Pradhan Mantri Jan Arogya Yojana or any State Govt Health Scheme/Health Insurance,Total Households,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,29,Mandatory,ratio,Percentage of eligible covered under Social Security Pension Scheme,Number of persons covered under Social Security Pension Scheme (SSPS),Total number of Eligible Persons for Social Security Protection Scheme(SSPS),https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,32,Mandatory,binary,Whether the Gram Panchayat has the Disaster Management Plan,Whether the Panchayat has prepared the Disaster Management Plan,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,33,Mandatory,ratio,Percentage of eligible Households having Priority Household (PHH) & Antyodaya Anna Yojana (AAY) ration cards,Number of households having Priority Household (PHH) & Antyodaya Anna Yojana(AAY) Ration Cards,Total number of Households in Priority Household (PHH) & Antyodaya Anna Yojana(AAY) category,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,34,Mandatory,ratio,Percentage of eligible Households having Antyodaya Anna Yojana (AAY) ration cards,Number of households having Antyodaya Anna Yojana(AAY) Ration Cards,Total number of Households in Antyodaya Anna Yojana (AAY) category,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,35,Mandatory,ratio,Percentage of households covered under PDS system,Number of households covered under PDS,Total Households,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,36,Mandatory,ratio,Percentage of Household with Water Tap connections,Number of Households with Water Tap connections,Total Households,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,47,Mandatory,ratio,Percentage of children aged under 5 years who are underweight,Total underweight Children under 5 Year,Number of children in age under 5 years,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,68,Mandatory,ratio,Percentage of children (0-3 years) registered under ICDS out of total eligible children (0-3 years),Total number of registered children (0-3 years) under ICDS,Total number of eligible children (0-3 years) under ICDS,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,69,Mandatory,ratio,Percentage of children (3-6 years) registered under ICDS out of total eligible children (3-6 years),Total number of registered children (3-6 years) under ICDS,Total number of eligible children (3-6 years) under ICDS,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,70,Mandatory,ratio,Percentage of Pregnant Women and lactating mothers registered under ICDS out of total eligible Pregnant Women and lactating mothers,Total number of registered Pregnant Women and Lactating Mothers under ICDS,Total number of eligible Pregnant Women and Lactating Mothers,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,75,Mandatory,ratio,Percentage of children under age 5 years who are wasted,Total wasted children under 5 Year,Number of children in age under 5 years,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,220,Mandatory,binary,Whether the ATM or other money withdrawal facility is available in the GP,Whether the ATM or other money withdrawal facility is available in the GP,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,370,Mandatory,binary,Whether the bank is available in the GP,Whether the bank is available in the GP,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,395,Optional,ratio,Percentage of Children age 6-59 months who are anaemic (<11.0g/dl),Children aged 6-59 months who are anemic,Total Number of children in age group 6-59 months,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,408,Mandatory,ratio,Percentage of persons (out of total eligible population) receiving social protection benefits under Pradhan Mantri Matritva Vandana Yojana (PMMVY) or State Specific Scheme,Total number of beneficiaries receiving social protection benefits under PMMVY State Specific Scheme during the reference year,Total number of beneficiaries enrolled under Pradhan Mantri Matru Vandana Yojana(PMMVY) State Specific Scheme during the reference year,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,422,Mandatory,ratio,Percentage of Households living in Kuccha houses as defined in PMAY,Number of Household(HHs) living in Kutcha House,Total Households,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,429,Mandatory,ratio,Percentage of homeless person in GP,Total number of homeless person,Total GP Population,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,452,Mandatory,ratio,"Total GP spending on essential services (education, health and social protection) as percentage of total plan expenditure","GP expenditure in education, health and social protection",Total GP expenditure (All Scheme),https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,543,Optional,ratio,Percentage of pregnant and lactating mothers who are anemic,Number of pregnant women and lactating mothers who are anemic,Total pregnant women and lactating mothers,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,564,Mandatory,ratio,Percentage of Women in SHGs benefitted Under Priority Household (PHH) & Antyodaya Anna Yojana(AAY) category,Total Number of Women in SHGs benefitted Under Priority Household (PHH) & Antyodaya Anna Yojana(AAY) category,Total number of Women under Priority Household (PHH) & Antyodaya Anna Yojana(AAY) category under NFSA,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,565,Mandatory,ratio,Percentage of women from AAY category in the SHGs,Total Number of Women from AAY category in the SHGs,Total number of Women under Antyodaya Anna Yojana(AAY)NFSA category,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,1,t1_poverty_free_and_enhanced_livelihoods_panchayat,566,Mandatory,ratio,Percentage of Self Help Group (SHGs) accessed Bank Loans in the reference year,Number of SHGs accessed bank loans,Total number of SHGs,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=1&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,2,t2_healthy_panchayat,39,Mandatory,ratio,Percentage of births attended by skilled health personnel or institutional delivery (Period 1 year),Women aged 15-49 years with a live birth attended by a skilled health personnel or institutional delivery in delivery during reference year,Women aged 15-49 years with a live birth during the same period,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=2&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,2,t2_healthy_panchayat,40,Mandatory,ratio,Percentage of Pregnant Women with a live birth during the reference year who have received 4 or more Antenatal check up (ANC),Women aged 15−49 years with a live birth in last one year who received antenatal care four or more times,Women aged 15−49 years with a live birth in the same period,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=2&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,2,t2_healthy_panchayat,41,Mandatory,ratio,Percentage of Ante Natal Check up (ANC) registration in 1st trimester to total ANC registration,Number of Ante Natal Checkup registration in 1st trimester,Total ANC registration,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=2&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,2,t2_healthy_panchayat,43,Mandatory,ratio,Percentage of currently married women (15-49 years) who use any modern family planning methods,Currently married women aged 15-49 years who use modern contraceptive methods,Currently married women aged 15-49 years,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=2&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,2,t2_healthy_panchayat,45,Mandatory,ratio,"Neonatal mortality rate (per 1,000 live births)",Infant deaths of age less than 29 days (neonatal deaths) during reference year,Live births of child during reference year,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=2&s=1,2026-09-06T06:50:29Z
